plastics_applications,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Other,19.43,20.16,21.44,22.33,24.51,25.45,27.29,29.32,30.66,32.97,34.69,35.54,37.81,39.38,41.89,43.07,45.79,48.36,46.08,47.25,51.25,53.27,55.24,57.56,58.53,60.28,61.14,62.73,64.58,66.32
Packaging,39.82,41.35,44.02,45.90,50.43,52.42,56.27,60.51,63.34,68.18,71.84,73.66,78.46,81.81,87.12,89.68,95.45,100.91,96.26,98.84,107.33,111.73,116.02,121.05,123.26,128.01,130.90,134.63,138.45,142.60
Consumer & institutional Products,13.77,14.28,15.18,15.80,17.34,17.99,19.29,20.71,21.64,23.26,24.47,25.06,26.65,27.75,29.51,30.33,32.24,34.03,32.42,33.23,36.04,37.47,38.85,40.48,41.16,42.24,42.94,44.03,45.31,46.66
Building & construction,21.87,22.68,24.12,25.12,27.56,28.61,30.66,32.92,34.41,36.98,38.90,39.82,42.34,44.07,46.84,48.14,51.13,53.95,51.37,52.63,57.09,59.35,61.55,64.12,65.20,66.88,68.23,71.11,74.30,76.89
Electrical/electronics,5.25,5.44,5.79,6.02,6.61,6.86,7.35,7.89,8.25,8.86,9.32,9.54,10.15,10.56,11.23,11.54,12.26,12.94,12.32,12.63,13.70,14.24,14.77,15.38,15.64,15.94,15.90,16.26,16.82,17.31
Transportation - other,14.75,15.34,16.36,17.08,18.80,19.57,21.03,22.65,23.74,25.59,27.00,27.72,29.56,30.86,32.90,33.91,36.13,38.24,36.52,37.53,40.85,42.62,44.36,46.38,47.33,48.23,48.89,50.43,52.55,54.43
Marine coatings,0.16,0.17,0.18,0.19,0.21,0.21,0.23,0.25,0.26,0.28,0.29,0.30,0.32,0.33,0.35,0.36,0.38,0.40,0.39,0.40,0.43,0.45,0.46,0.48,0.49,0.50,0.50,0.51,0.52,0.54
Industrial/machinery,0.82,0.85,0.90,0.93,1.02,1.06,1.14,1.22,1.27,1.37,1.43,1.47,1.56,1.62,1.72,1.76,1.87,1.97,1.87,1.92,2.07,2.14,2.21,2.29,2.32,2.43,2.42,2.50,2.60,2.68
Personal care products,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
Textile sector - clothing,7.20,7.52,8.05,8.44,9.33,9.75,10.52,11.37,11.96,12.95,13.71,14.13,15.13,15.85,16.96,17.54,18.76,19.92,19.09,19.69,21.58,22.67,23.76,25.01,25.69,26.33,26.90,27.48,28.06,28.76
Textile sector - others,4.44,4.61,4.91,5.12,5.63,5.85,6.28,6.75,7.07,7.61,8.02,8.23,8.76,9.14,9.73,10.02,10.66,11.27,10.75,11.04,12.00,12.50,12.99,13.56,13.81,14.19,14.35,14.55,14.81,15.12
Road marking,0.20,0.20,0.22,0.22,0.25,0.26,0.27,0.30,0.31,0.33,0.35,0.36,0.38,0.40,0.42,0.43,0.46,0.49,0.46,0.48,0.52,0.54,0.56,0.58,0.59,0.60,0.61,0.63,0.66,0.68
Transportation - tyres,2.17,2.26,2.41,2.52,2.77,2.88,3.10,3.33,3.49,3.77,3.97,4.08,4.35,4.54,4.84,4.99,5.31,5.62,5.37,5.52,6.01,6.27,6.53,6.83,6.98,7.10,7.16,7.30,7.52,7.73
Total,129.89,134.87,143.57,149.69,164.45,170.92,183.44,197.23,206.40,222.15,234.01,239.91,255.48,266.32,283.51,291.79,310.47,328.12,312.91,321.17,348.88,363.27,377.30,393.74,401.03,412.75,419.97,432.18,446.20,459.75
